source_type,connection_name,database_name,schema_name,table_name,ingestion_flag,
sql,sqlserver_connection,client_bank,client_bank,client_info,ingested,
sql,sqlserver_connection,client_bank,client_bank,customer_details1,not ingested,
sql,sqlserver_connection,client_bank,client_bank,customer_reviews,not ingested,
sql,sqlserver_connection,client_bank,client_bank,customer_support_tickets,ingested,
sql,sqlserver_connection,client_bank,client_bank,order_detail,not ingested,
sql,sqlserver_connection,client_bank,client_bank,order_summary,not ingested,
sql,sqlserver_connection,client_bank,client_bank,payment_details,not ingested,
sql,sqlserver_connection,client_bank,client_bank,review_details,not ingested,
sql,sqlserver_connection,client_bank,client_bank,support_ticket_details,not ingested,
sql,sqlserver_connection,client_bank,client_bank,transaction_history,not ingested,
sql,sqlserver_connection,client_bank,client_bank,customer_details,not ingested,
sql,sqlserver_connection,client_bank,dbo,Customer,not ingested,
sql,sqlserver_connection,client_bank,dbo,products,not ingested,
sql,sqlserver_connection,client_bank,client_bank,products,not ingested,
